Gene,sample_2
DEFB4A,4.295674049
SPRR2D,4.195882231
SPRR2E,4.058268438
SLURP1,3.981184972
SPRR2A,3.978728245
SLURP2,3.930166333
SPRR3,3.927757864
CRCT1,3.888179629
LCN2,3.883008337
S100A7,3.796440263
CNFN,3.604546757
SPRR1A,3.546046332
S100A12,3.392763173
SPRR2B,3.387923554
KLK13,3.369263867
LCE3D,3.257608778
SPRR2F,3.191257143
KLK6,3.152175556
LCE3E,3.017633139
SPRR2G,3.014785446
KLK12,2.941256612
CSTA,2.903440888
PI3,2.852586359
PRSS27,2.731488266
KLK7,2.719723586
HOPX,2.690709339
S100A9,2.684116345
APOBEC3A,2.67747277
CSTB,2.67643147
IL1RN,2.624108723
SLC6A14,2.602603261
SBSN,2.579000626
SPINK5,2.557655901
ECM1,2.533294561
CYSRT1,2.524068817
SPRR1B,2.516906167
CDSN,2.512639532
NCCRP1,2.460444335
IL36RN,2.447925567
TGM1,2.44690928
FAM25A,2.442803702
KLK5,2.43753807
IL36G,2.421860037
CEACAM5,2.407238421
KLK10,2.379272027
SPINK7,2.357651291
RNASE7,2.355455535
RHCG,2.348731744
S100P,2.321287765
PRSS22,2.268434692
WFDC12,2.255653401
KLK11,2.247405263
LYPD2,2.231573905
EPS8L1,2.222160252
KRTDAP,2.184352157
TMPRSS11E,2.148509391
SERPINB3,2.122589051
SLPI,2.08840889
PPL,2.073447389
CD24,2.064329042
IVL,2.050881022
CLIC3,1.993951511
SCEL,1.982132336
PDZK1IP1,1.970024083
ASPRV1,1.964793108
ERO1A,1.956277602
PRR9,1.941307093
ELF3,1.914766378
TMPRSS11D,1.848104833
KLK9,1.784873199
ANXA1,1.743201405
S100A8,1.730490437
VSIG10L,1.728751486
CST6,1.727059263
KRT80,1.7132014
GJB2,1.6938852
A2ML1,1.681700861
MAB21L4,1.648708439
KRT78,1.63328859
PRSS8,1.631585081
S100A7A,1.587584331
LYPD5,1.57179052
BICDL2,1.523905577
DMKN,1.511778932
SERPINB13,1.511405709
STEAP4,1.475413242
ATG9B,1.467339216
HEPHL1,1.452263097
GRHL1,1.443306593
CARHSP1,1.417030441
TMEM40,1.405473281
CLDN4,1.398903333
C15orf48,1.397625661
SDCBP2,1.385117117
SPNS2,1.355406573
TACSTD2,1.350830501
SULT2B1,1.296064478
PERP,1.283335338
TTC9,1.251354997
QSOX1,1.194670922
MXD1,1.161923663
SERPINB7,1.153796909
GLTP,1.13097557
KLK8,1.120033616
PLA2G2F,1.103168089
SAMD9,1.099586578
TMEM45B,1.086788753
CEACAM6,1.086773758
PCDH1,1.08301837
METRNL,1.050894197
LMO7,1.023463946
FUT3,0.980145473
C4orf3,0.919540578
MALL,0.822822649
KRT23,0.788149374
MBOAT2,0.777332625
JUP,0.41269516
MT-CYB,0
HLA-A,-0.481910666
HLA-B,-0.486981296
MT-CO1,-0.494533586
MT-CO3,-0.512933775
EEF1G,-0.720254898
MT-CO2,-0.753098163
RPLP0,-0.80567723
RPS19,-0.808810089
RPL21,-0.824274499
RPL35A,-0.850985715
RPLP1,-0.883677971
RPS18,-0.889730771
TAGLN2,-0.89682651
RPL35,-0.911156612
PPIA,-0.919561256
S100A2,-0.931429936
DDX5,-0.951056226
RPS15,-0.951919638
RPL37A,-0.953792077
RPL32,-0.953974502
EEF2,-0.97951445
RPL37,-0.989444436
RPL3,-1.005442495
RPL9,-1.006084387
RPL15,-1.013939716
RPSA,-1.01867611
EEF1A1,-1.024724065
RPL17,-1.041679276
TMSB10,-1.049041652
RPL13,-1.057795245
MT1X,-1.08045993
RPS6,-1.093438001
FTL,-1.094538557
RPLP2,-1.095219195
EIF4A1,-1.095320012
RPS21,-1.096497581
ENO1,-1.109084707
GAPDH,-1.116132888
RACK1,-1.120960197
RPS3,-1.124595082
RPS12,-1.13173553
RPS15A,-1.138674797
KRT5,-1.143579456
RPL7,-1.152613079
RPL7A,-1.153024307
RPS7,-1.159742128
RPS8,-1.161280138
EEF1D,-1.165336001
RPS17,-1.167652271
RPS26,-1.170921447
MIR205HG,-1.182076571
ITGA6,-1.192687932
RPL34,-1.199954169
RPS10,-1.225972805
RPS24,-1.23667001
HSP90AB1,-1.248359379
LAMB3,-1.2669782
RPL12,-1.272512583
ATP1A1,-1.279597476
RPS3A,-1.287189019
RPL19,-1.30326751
RPL26,-1.31695821
RPS13,-1.333796981
RPL11,-1.370440253
RPS4X,-1.373660069
FSCN1,-1.381920329
RPS27A,-1.417721461
RPL4,-1.420742548
C1S,-1.422000402
RPL5,-1.434643355
NPM1,-1.438135349
RPL8,-1.456039801
PKM,-1.486727251
PFN1,-1.49054087
TUBB,-1.512868994
FLNA,-1.522613931
RPS23,-1.526545748
MT2A,-1.537635657
PTMA,-1.545202423
RPS2,-1.572439619
IGFBP7,-1.648789028
IFITM3,-1.64972321
RPL22,-1.651005834
HNRNPA2B1,-1.661741067
TUBA1B,-1.721746294
VIM,-1.735309222
HMGN2,-1.746830322
NME2,-1.798302349
COL1A1,-2.1835313
COL1A2,-2.240733353
